Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B020 - Business,Agri-Tech Claim,22/10/2018,Cashbook October ,"1,680.70",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B017 - Strategic Planning,Growth Funds claim,22/10/2018,Cashbook October ,"20,834.00",Revenue,Opportunity Peterborough,Economic Development Company
B017 - Strategic Planning,Growth Funds claim,22/10/2018,Cashbook October ,"134,166.00",Revenue,Opportunity Peterborough,Economic Development Company
B017 - Strategic Planning,Growth Funds claim,22/10/2018,Cashbook October ,"38,745.00",Capital,Network Rail Infrastructure Ltd,Public Company
B017 - Strategic Planning,Growth Funds claim,22/10/2018,Cashbook October ,"30,634.00",Capital,Network Rail Infrastructure Ltd,Public Company
B015 - Corporate Overheads,Office Fitout Costs,29/10/2018,Cashbook October ,"155,988.19",Capital,Urban & Civic ,Landlord
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,232.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,240.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,29/10/2018,Cashbook October ,"2,048.75",Revenue,Venn Group Ltd,Employment Agency
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"2,452.04",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"2,589.23",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"1,333.33",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,607.93,Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"59,666.84",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"10,438.26",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"12,508.34",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,"8,759.90",Revenue,Agri-Tech Claim Recipient,Grant Recipient 
B020 - Business,Agri-Tech Claim,29/10/2018,Cashbook October ,3268.05,Revenue,Agri-Tech Claim Recipient,Grant Recipient 
